0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	1	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
5	5	5	7	9	6	3
10	18	15	16	28	19	16
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
13	15	16	18	15	7	18
24	31	37	27	34	32	26
37	47	39	51	58	46	28
74	76	85	86	114	112	81
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
37	32	42	25	31	42	30
75	81	72	46	63	63	53
59	62	82	72	76	74	54
68	95	84	71	95	102	55
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	3	2	0	1	2	1
21	18	24	18	28	18	25
89	90	104	83	114	108	61
80	85	82	80	119	111	62
139	164	138	140	122	133	74
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
22	28	31	19	22	16	5
61	69	71	68	74	56	35
103	119	112	91	109	82	49
208	208	223	224	268	216	148
179	182	195	196	227	132	73
142	152	167	163	148	85	49
0	0	0	0	0	0	0
0	0	0	0	0	0	0
3	9	13	6	6	7	10
132	171	149	150	153	155	96
124	138	137	100	133	133	84
90	115	129	116	130	88	57
280	335	322	314	365	265	155
0	0	0	0	0	0	0
0	0	0	0	0	0	0
29	38	31	23	26	45	28
78	66	64	67	70	76	65
136	128	136	143	164	140	91
174	201	216	208	222	201	95
161	200	165	187	196	167	93
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
26	24	33	35	30	36	27
70	67	76	58	75	81	49
114	131	117	128	122	142	110
130	150	164	168	159	150	96
215	278	237	226	283	277	104
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
288	295	275	287	340	373	222
80	92	77	78	99	105	72
125	127	110	125	142	141	105
147	127	177	158	150	145	110
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
6	5	9	5	3	7	4
71	75	76	53	73	76	68
35	50	44	42	41	44	30
56	79	63	69	75	82	60
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
19	6	15	15	25	12	11
26	29	22	29	23	29	18
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	1	0
22	25	24	16	31	19	17
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
